SCHOOL_YEAR,SCH_NAME,LEA_NAME,STATE,ST,MCITY,MSTATE,NCESSCH,SCHID,LAT,LON,LOCALE
2023-2024,HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364012211,4812211,29.847589,-95.361584,11
2023-2024,ENERGIZED FOR STEM ACADEMY H S,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364012243,4812243,29.691132,-95.507706,11
2023-2024,NORTH HOUSTON EARLY COLLEGE H S,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364012246,4812246,29.833163,-95.377713,11
2023-2024,NORTH FOREST H S,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364013022,4813022,29.867029,-95.259744,41
2023-2024,SOUTH EARLY COLLEGE H S,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364013032,4813032,29.64091,-95.391425,11
2023-2024,ENERGY INSTITUTE H S,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364013046,4813046,29.71455,-95.358791,11
2023-2024,MIDDLE COLLEGE H S AT HCC GULFTON,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364013076,4813076,29.716092,-95.474637,11
2023-2024,MIDDLE COLLEGE H S AT HCC FRAGA,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364013180,4813180,29.75222,-95.332296,11
2023-2024,HCC LIFE SKILLS PROGRAM,HOUSTON ISD,TEXAS,TX,HOUSTON,TX,482364016982,4816982,29.737194,-95.376308,11
2023-2024,HOWE H S,HOWE ISD,TEXAS,TX,HOWE,TX,482367002622,4802622,33.528325,-96.609196,41
2023-2024,HUDSON H S,HUDSON ISD,TEXAS,TX,LUFKIN,TX,482379002631,4802631,31.3145,-94.8273,41
2023-2024,STUBBLEFIELD LRN CTR,HUDSON ISD,TEXAS,TX,LUFKIN,TX,482379007162,4807162,31.30466,-94.742501,33
2023-2024,HARGRAVE H S,HUFFMAN ISD,TEXAS,TX,HUFFMAN,TX,482382002633,4802633,30.0423,-95.0598,41
2023-2024,HUGHES SPRINGS H S,HUGHES SPRINGS ISD,TEXAS,TX,HUGHES SPRINGS,TX,482385002637,4802637,33.005335,-94.636253,43
2023-2024,HULL-DAISETTA H S,HULL-DAISETTA ISD,TEXAS,TX,DAISETTA,TX,482388002640,4802640,30.117188,-94.644631,42
2023-2024,HUMBLE H S,HUMBLE ISD,TEXAS,TX,HUMBLE,TX,482391002646,4802646,29.982075,-95.247522,21
2023-2024,KINGWOOD H S,HUMBLE ISD,TEXAS,TX,KINGWOOD,TX,482391005502,4805502,30.045404,-95.1956,11
2023-2024,ATASCOCITA H S,HUMBLE ISD,TEXAS,TX,HUMBLE,TX,482391010753,4810753,29.979582,-95.171379,21
2023-2024,KINGWOOD PARK H S,HUMBLE ISD,TEXAS,TX,KINGWOOD,TX,482391011266,4811266,30.072554,-95.212994,11
2023-2024,SUMMER CREEK H S,HUMBLE ISD,TEXAS,TX,HOUSTON,TX,482391011267,4811267,29.926148,-95.207907,21
2023-2024,JJAEP CAMPUS,HUMBLE ISD,TEXAS,TX,HUMBLE,TX,482391011544,4811544,30.007912,-95.26295,21
2023-2024,GUY M SCONZO EARLY COLLEGE H S,HUMBLE ISD,TEXAS,TX,HUMBLE,TX,482391017028,4817028,29.980305,-95.245502,21
2023-2024,PRIDE ALTER SCH,HUNTINGTON ISD,TEXAS,TX,HUNTINGTON,TX,482400001969,4801969,31.28455,-94.571837,42
2023-2024,HUNTINGTON H S,HUNTINGTON ISD,TEXAS,TX,HUNTINGTON,TX,482400002654,4802654,31.263924,-94.573915,42
2023-2024,HUNTSVILLE H S,HUNTSVILLE ISD,TEXAS,TX,HUNTSVILLE,TX,482403002658,4802658,30.740899,-95.536551,32
2023-2024,TEXAS ONLINE PREPARATORY H S,HUNTSVILLE ISD,TEXAS,TX,HUNTSVILLE,TX,482403012951,4812951,30.741623,-95.540242,32
2023-2024,BELL H S,HURST-EULESS-BEDFORD ISD,TEXAS,TX,HURST,TX,482406002663,4802663,32.8434,-97.1611,21
2023-2024,TRINITY H S,HURST-EULESS-BEDFORD ISD,TEXAS,TX,EULESS,TX,482406002682,4802682,32.843,-97.097,21
2023-2024,KEYS H S,HURST-EULESS-BEDFORD ISD,TEXAS,TX,EULESS,TX,482406006568,4806568,32.8213,-97.1353,21
2023-2024,BUINGER CTE ACADEMY,HURST-EULESS-BEDFORD ISD,TEXAS,TX,BEDFORD,TX,482406009390,4809390,32.835475,-97.13689,21
2023-2024,HUTTO H S,HUTTO ISD,TEXAS,TX,HUTTO,TX,482410002686,4802686,30.536524,-97.562299,21
